day,col1,col2,col3,col4
Feb 15,3,2,16,12
Feb 16,3,2,16,12
Feb 17,3,2,16,12
Feb 18,3,2,16,12
Feb 19,3,2,16,12
Feb 20,4,2,16,12
Feb 21,21,2,16,12
Feb 22,79,2,16,12
Feb 23,157,2,16,12
Feb 24,229,3,16,12
Feb 25,323,9,18,14
Feb 26,470,13,26,18
Feb 27,655,25,48,38
Feb 28,889,33,74,57
Feb 29,1128,58,79,100
Mar 01,1701,84,130,130
Mar 02,2036,120,165,191
Mar 03,2502,165,203,212
Mar 04,3089,228,262,285
Mar 05,3858,282,545,423
Mar 06,4636,401,670,653
Mar 07,5883,525,800,949
Mar 08,7375,674,1040,1209
Mar 09,9172,1231,1224,1412
Mar 10,10149,1695,1565,1784
Mar 11,12462,2277,1966,2281
Mar 12,15113,3146,2745,2876
Mar 13,17660,5232,3675,3661
Mar 14,21157,6391,4599,4499
Mar 15,24747,7988,5813,5423
Mar 16,27980,9942,7272,6633
Mar 17,31506,11826,9367,7730
